sentence,condition,cleaned_sentence,label
"Cheney's former chief of staff, Lewis Libby, is one of the main figures under investigation.",NR,"cheney's former chief of staff, lewis libby, is one of the main figures under investigation.",0
"She is now a public speaker and author, and a senior fellow at the American Enterprise Institute.",NR,"she is now a public speaker and author, and a senior fellow at the american enterprise institute.",0
He played college football for Alabama and was a teammate of legendary coach Bear Bryant.,NR,he played college football for alabama and was a teammate of legendary coach bear bryant.,0
"The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.",NR,"the specific purpose of the voyage was to the find the sources of the platte, arkansas, and red rivers.",0
"They had five children after which they relocated to Norwich, Vermont where Bush was a Captain of a militia company.",NR,"they had five children after which they relocated to norwich, vermont where bush was a captain of a militia company.",0
"Mildred was the sister of Al Rinker, who also sang with Paul Whiteman.",NR,"mildred was the sister of al rinker, who also sang with paul whiteman.",0
"Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.",NR,"marvin pierce bush (born october 22, 1956) is the youngest son of george h. w. bush and barbara pierce, and brother of george w., john (jeb), neil and dorothy.",0
"She died from multiple strokes and lung cancer on November 6, 2004 in Tarzana, California at the age of 70.",NR,"she died from multiple strokes and lung cancer on november 6, 2004 in tarzana, california at the age of 70.",0
"She served from 1986 to 1996 as Chair of the National Endowment for the Humanities, appointed by Ronald Reagan.",NR,"she served from 1986 to 1996 as chair of the national endowment for the humanities, appointed by ronald reagan.",0
His brother was not impressed when he discovered his popular correspondent was his younger brother.,NR,his brother was not impressed when he discovered his popular correspondent was his younger brother.,0
"However, it is widely believed that Louise was the daughter of Struensee - portrait comparisons have supported this.",NR,"however, it is widely believed that louise was the daughter of struensee - portrait comparisons have supported this.",0
"Anne Hutchinson (July 17, 1591 - August 20, 1643) was the unauthorized Puritan preacher of a dissident church discussion group, and pioneer in Rhode Island and the Bronx.",NR,"anne hutchinson (july 17, 1591 - august 20, 1643) was the unauthorized puritan preacher of a dissident church discussion group, and pioneer in rhode island and the bronx.",0
He shared the honor with Tennessee Titans quarterback Steve McNair.,NR,he shared the honor with tennessee titans quarterback steve mcnair.,0
"[4] Situated in Liberty City, Dade County, the school is located just outside of greater Miami, in an area plagued by poverty.",NR,"[4] situated in liberty city, dade county, the school is located just outside of greater miami, in an area plagued by poverty.",0
"Rosemary, Betty, and brother, Nick, as well as her nephew, George Clooney (Nick's son), all became entertainers.",NR,"rosemary, betty, and brother, nick, as well as her nephew, george clooney (nick's son), all became entertainers.",0
"Timothy Bush, Sr. (c. 1728 - c. 1815) - soldier.",NR,"timothy bush, sr. (c. 1728 - c. 1815) - soldier.",0
He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.,NR,he is also notable in that he is the great great great grandfather of president george w. bush through his son reverend james smith bush.,0
He was born in Philadelphia into an illustrious theatrical family.,NR,he was born in philadelphia into an illustrious theatrical family.,0
"Christian VII (January 29, 1749–March 13, 1808), King of Denmark and Norway, Duke of Schleswig and Holstein.",NR,"christian vii (january 29, 1749–march 13, 1808), king of denmark and norway, duke of schleswig and holstein.",0
"He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.",NR,"he was cremated, and the ashes were interred in the eden memorial park cemetery in mission hills, los angeles, california.",0
"Four months later, he was killed by a German sniper in World War II.",NR,"four months later, he was killed by a german sniper in world war ii.",0
"Sometime during the second half of 1683, the Franklins left England for Boston, Massachusetts; and while in Boston, they had several more children, including: Josiah Jr. (August 23, 1685), Ann (January 5, 1687), Joseph (February 5, 1688), and Joseph (June 30, 1689) (the first Joseph having died soon after birth).",NR,"sometime during the second half of 1683, the franklins left england for boston, massachusetts; and while in boston, they had several more children, including: josiah jr. (august 23, 1685), ann (january 5, 1687), joseph (february 5, 1688), and joseph (june 30, 1689) (the first joseph having died soon after birth).",0
"His mother Jacqueline Kennedy was married to Greek shipping tycoon Aristotle Onassis from 1968 until Onassis's death in 1975, when John was 14 years old.",NR,"his mother jacqueline kennedy was married to greek shipping tycoon aristotle onassis from 1968 until onassis's death in 1975, when john was 14 years old.",0
"In 1954 she, along with Bing Crosby, Danny Kaye, and Vera-Ellen, starred in the movie White Christmas.",NR,"in 1954 she, along with bing crosby, danny kaye, and vera-ellen, starred in the movie white christmas.",0
Ferrer also had a recurring role as Julia Duffy's insanely wealthy Waspy father on the popular Newhart television sitcom in the U.S. in the 1980s.,NR,ferrer also had a recurring role as julia duffy's insanely wealthy waspy father on the popular newhart television sitcom in the u.s. in the 1980s.,0
The arm injury kept him from being drafted into the armed forces for the Second World War.,NR,the arm injury kept him from being drafted into the armed forces for the second world war.,0
"Mary is one of her father's top campaign aides and closest confidantes and lives in Denver, Colorado.",NR,"mary is one of her father's top campaign aides and closest confidantes and lives in denver, colorado.",0
Then they would play a brief quiz.,NR,then they would play a brief quiz.,0
HCC is a publicly traded insurance company on the New York Stock Exchange.,NR,hcc is a publicly traded insurance company on the new york stock exchange.,0
"Under President Gerald Ford, Cheney became Assistant to the President and the youngest White House Chief of Staff in history.",NR,"under president gerald ford, cheney became assistant to the president and the youngest white house chief of staff in history.",0
"By most accounts, Aristotle Onassis did not play a particularly significant role in young John's life.",NR,"by most accounts, aristotle onassis did not play a particularly significant role in young john's life.",0
In 1958 Ferrer appeared in I Accuse!,NR,in 1958 ferrer appeared in i accuse!,0
"During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",NR,"during his seventh-grade school year, coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.",0
He was the victim of sexual abuse several times in childhood.,NR,he was the victim of sexual abuse several times in childhood.,0
"Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.",NR,"though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.",0
"Klaas finished his career at Washington having played in 69 games, scoring ten goals and 21 assists.",NR,"klaas finished his career at washington having played in 69 games, scoring ten goals and 21 assists.",0
"He is a prominent member of the Bush family, the younger brother of President George W. Bush and the second son of former President George H. W. Bush and Barbara Bush.",NR,"he is a prominent member of the bush family, the younger brother of president george w. bush and the second son of former president george h. w. bush and barbara bush.",0
After studying at the Louisiana State University he joined the Monroe Police Department.,NR,after studying at the louisiana state university he joined the monroe police department.,0
He predicted in America's Economic Supremacy (1900) that New York would become the world trade center.,NR,he predicted in america's economic supremacy (1900) that new york would become the world trade center.,0
He ultimately sank into a condition of mental stupor.,NR,he ultimately sank into a condition of mental stupor.,0
"In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.",NR,"in march 1819 he married martha hodgkins of philadelphia, pennsylvania.",0
"Jeb Bush was born in Midland, Texas, where his father was running an oil drilling company.",NR,"jeb bush was born in midland, texas, where his father was running an oil drilling company.",0
Kennedy was a member of the prominent Kennedy political family.,NR,kennedy was a member of the prominent kennedy political family.,0
"In November 1977 he was sent to the Venezuelan capital of Caracas, in South America, to open a new operation for the bank.",NR,"in november 1977 he was sent to the venezuelan capital of caracas, in south america, to open a new operation for the bank.",0
"Once in 1934, during the ninth inning of a Cubs-St. Louis Cardinals game, the wire went dead.",NR,"once in 1934, during the ninth inning of a cubs-st. louis cardinals game, the wire went dead.",0
"After he left the Pentagon, he became publisher and chairman of Forbes magazine, where over the next decade he wrote frequently on defense and national security issues.",NR,"after he left the pentagon, he became publisher and chairman of forbes magazine, where over the next decade he wrote frequently on defense and national security issues.",0
"Her disapproving mother, Jacqueline, lives on but is rarely seen.",NR,"her disapproving mother, jacqueline, lives on but is rarely seen.",0
"In 1990, he wrote Fighting for Peace, an account of his Pentagon years; in 1996, Weinberger co-authored a book entitled The Next War, which raised questions about the adequacy of U.S. military capabilities following the end of the Cold War.",NR,"in 1990, he wrote fighting for peace, an account of his pentagon years; in 1996, weinberger co-authored a book entitled the next war, which raised questions about the adequacy of u.s. military capabilities following the end of the cold war.",0
"His father, Josiah Franklin, was a tallow chandler, a maker of candles, who married twice.",NR,"his father, josiah franklin, was a tallow chandler, a maker of candles, who married twice.",0
"However, he posted the third lowest passer rating of his career - 35.5 - in the AFC title game against the New England Patriots, throwing four interceptions in a 24-14 loss.",NR,"however, he posted the third lowest passer rating of his career - 35.5 - in the afc title game against the new england patriots, throwing four interceptions in a 24-14 loss.",0
"Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.",NR,"charles ii married on may 3 or may 21, 1662, in portsmouth, and her dowry brought tangier and bombay to british control.",0
Lawford also made his first comedy that same year My Brother Talks To Horses (1947).,NR,lawford also made his first comedy that same year my brother talks to horses (1947).,0
Reagan developed an early gift for storytelling and acting.,NR,reagan developed an early gift for storytelling and acting.,0
"Their three children, now grown, are George P. (recently married), John E. ""Jeb"" Bush Jr. and Noelle.",NR,"their three children, now grown, are george p. (recently married), john e. ""jeb"" bush jr. and noelle.",0
It was in Good News (1947) that Lawford won his greatest acclaim as an actor.,NR,it was in good news (1947) that lawford won his greatest acclaim as an actor.,0
"Webster English Young (December 3, 1932 - December 13, 2003) was an American jazz trumpeter and cornetist.",NR,"webster english young (december 3, 1932 - december 13, 2003) was an american jazz trumpeter and cornetist.",0
Lawford's first major movie role was A Yank At Eton (1942).,NR,lawford's first major movie role was a yank at eton (1942).,0
"Soon after he was born, he moved to New York with his father, where he began acting and playing music.",NR,"soon after he was born, he moved to new york with his father, where he began acting and playing music.",0
"According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.",NR,"according to errol flynn's memoirs, film director raoul walsh 'borrowed' barrymore's body after the funeral, and left his corpse propped in a chair for a drunken flynn to discover when he returned home from the cock and bull bar.",0
"Christian signed Struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, Sophie Magdalene of Brandenburg-Kulmbach, who had led the movement to have the marriage dissolved.",NR,"christian signed struensee's arrest warrant with indifference, and under pressure from his paternal grandmother, sophie magdalene of brandenburg-kulmbach, who had led the movement to have the marriage dissolved.",0
"He appeared in 1953's Miss Sadie Thompson opposite Rita Hayworth, in 1954's The Caine Mutiny and the MGM musical Deep in My Heart.",NR,"he appeared in 1953's miss sadie thompson opposite rita hayworth, in 1954's the caine mutiny and the mgm musical deep in my heart.",0
"In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.",NR,"in 1958, kennedy published the first edition of his book a nation of immigrants, closely following his involvement in the displaced persons act and the 1957 bill to bring families together.",0
"He soon recorded Desireless, and it became a hit across Scandinavia and the rest of Europe, and an American release came in 1998.",NR,"he soon recorded desireless, and it became a hit across scandinavia and the rest of europe, and an american release came in 1998.",0
Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.,NR,jon is known in the nba because of the courage and determination he shows on defense and in the clutch time.,0
At one point when a newscaster was conducting a conversation with both of them he asked Dole if he had anything to say to Bush.,NR,at one point when a newscaster was conducting a conversation with both of them he asked dole if he had anything to say to bush.,0
"Alexander Rae Baldwin III (born April 3, 1958, in Massapequa, Long Island, New York, USA) is an American actor who is the oldest and best known of the ""Baldwin brothers"", with brothers Daniel, Stephen and William.",NR,"alexander rae baldwin iii (born april 3, 1958, in massapequa, long island, new york, usa) is an american actor who is the oldest and best known of the ""baldwin brothers"", with brothers daniel, stephen and william.",0
"He put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in Heisman Trophy voting to The University of Michigan's Charles Woodson, although he was unable to beat arch rival University of Florida for the fourth consecutive time.",NR,"he put up even more impressive numbers in his last season (3,819 yards, 36 touchdowns) and finished second in heisman trophy voting to the university of michigan's charles woodson, although he was unable to beat arch rival university of florida for the fourth consecutive time.",0
"Upon his election, Reagan became the oldest president to enter office, at the age of 69.",NR,"upon his election, reagan became the oldest president to enter office, at the age of 69.",0
"LaWanda Page (October 19, 1920 - September 14, 2002) was an American actress, perhaps best known for her portrayal of Aunt Esther in the 1970s sitcom Sanford and Son.",NR,"lawanda page (october 19, 1920 - september 14, 2002) was an american actress, perhaps best known for her portrayal of aunt esther in the 1970s sitcom sanford and son.",0
"Ferrer also directed, but did not appear in, Return to Peyton Place in 1961 and also the re-make of State Fair in 1962.",NR,"ferrer also directed, but did not appear in, return to peyton place in 1961 and also the re-make of state fair in 1962.",0
He is currently the 46th Vice President of the United States under President George W. Bush.,NR,he is currently the 46th vice president of the united states under president george w. bush.,0
There is also some evidence that Henry Ford gave Adolf Hitler direct financial backing when Hitler was first starting out in politics.,NR,there is also some evidence that henry ford gave adolf hitler direct financial backing when hitler was first starting out in politics.,0
He regularly delivers speeches in both English and Spanish due to the large number of Spanish speaking residents of Florida.,NR,he regularly delivers speeches in both english and spanish due to the large number of spanish speaking residents of florida.,0
"The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.",NR,"the following month, as a brevet major in the u.s. army, he was appointed to lead an expedition through the american west, in areas acquired in the louisiana purchase.",0
He flew a P-38 Lightning in the North African campaign of November 1942.,NR,he flew a p-38 lightning in the north african campaign of november 1942.,0
"In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:",NR,"in 1874, at the age of 23, gifford was a lieutenant in the 2nd battalion, 24th foot (later the south wales borderers), british army during the first ashanti expedition, when the following deed took place for which he was awarded the victoria cross:",0
"On January 28, 2005 it was revealed that he accepted money from the George W. Bush administration to promote their marriage initiative program, which he did not disclose to his readers.",NR,"on january 28, 2005 it was revealed that he accepted money from the george w. bush administration to promote their marriage initiative program, which he did not disclose to his readers.",0
While a printing apprentice he wrote under the pseudonym of 'Silence Dogood' who was ostensibly a middle-aged widow.,NR,while a printing apprentice he wrote under the pseudonym of 'silence dogood' who was ostensibly a middle-aged widow.,0
The picture was a smash hit and Lawford's performance was widely praised.,NR,the picture was a smash hit and lawford's performance was widely praised.,0
"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",NR,"he participated in various commands in the pacific theater and earned the rank of lieutenant, commanding a patrol torpedo boat or pt boat.",0
He played William Barrett Travis in a movie about the Alamo called Thirteen Days of Glory.,NR,he played william barrett travis in a movie about the alamo called thirteen days of glory.,0
Bush was a soldier in the French and Indian Wars and a Captain in the American Revolution and is the great-great-great-great-great grandfather of president George W. Bush.,NR,bush was a soldier in the french and indian wars and a captain in the american revolution and is the great-great-great-great-great grandfather of president george w. bush.,0
Struensee was arrested and executed in that same year.,NR,struensee was arrested and executed in that same year.,0
She has authored or co-authored eight books and numerous articles.,NR,she has authored or co-authored eight books and numerous articles.,0
"For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.",NR,"for a time in the summer of 1823, his expedition was joined by italian explorer giacomo beltrami.",0
"Ford was born on a prosperous farm in Springwells Township (now in the city of Dearborn, Michigan) owned by his parents, William Ford (1826-1905) and Mary Litogot (c1839-1876), immigrants from County Cork, Ireland.",NR,"ford was born on a prosperous farm in springwells township (now in the city of dearborn, michigan) owned by his parents, william ford (1826-1905) and mary litogot (c1839-1876), immigrants from county cork, ireland.",0
"In particular, Baldwin is one of the most frequent hosts of Saturday Night Live, leading the show eleven times and also making cameo appearances regularly.",NR,"in particular, baldwin is one of the most frequent hosts of saturday night live, leading the show eleven times and also making cameo appearances regularly.",0
"He decided after three semesters to take some time off from Yale, on account of difficulty with his studies.",NR,"he decided after three semesters to take some time off from yale, on account of difficulty with his studies.",0
"Catherine introduced, and made fashionable, the custom of drinking tea in England.",NR,"catherine introduced, and made fashionable, the custom of drinking tea in england.",0
"Hodgkin and Huxley's findings led the pair to hypothesize ion channels, which were confirmed only decades later.",NR,"hodgkin and huxley's findings led the pair to hypothesize ion channels, which were confirmed only decades later.",0
"With Rodgers' fate unknown, and bigamy an offense punishable by public whipping and imprisonment, Deborah was not free to remarry.",NR,"with rodgers' fate unknown, and bigamy an offense punishable by public whipping and imprisonment, deborah was not free to remarry.",0
"Doctors were able to save the arm, but the injury bothered him for many years.",NR,"doctors were able to save the arm, but the injury bothered him for many years.",0
Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,NR,over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.,0
"Although Ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees Clarence Avery, Peter E. Martin, Charles E. Sorensen, and C.H. Wills.",NR,"although ford is often credited with the idea, contemporary sources indicate that the concept and its development came from employees clarence avery, peter e. martin, charles e. sorensen, and c.h. wills.",0
He was the youngest president ever elected and the only Roman Catholic president.,NR,he was the youngest president ever elected and the only roman catholic president.,0
"John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), often referred to as Jack Kennedy or JFK, was the 35th President of the United States.",NR,"john fitzgerald kennedy (may 29, 1917 - november 22, 1963), often referred to as jack kennedy or jfk, was the 35th president of the united states.",0
"In 1879, he left home for the nearby city of Detroit to work as an apprentice machinist, first with James F. Flower & Bros., and later with the Detroit Dry Dock Co.",NR,"in 1879, he left home for the nearby city of detroit to work as an apprentice machinist, first with james f. flower & bros., and later with the detroit dry dock co.",0
"At an early age, he was profoundly marked by the death of his elder brother Gérard, later prompting him to write the book Visions of Gerard.",NR,"at an early age, he was profoundly marked by the death of his elder brother gérard, later prompting him to write the book visions of gerard.",0
Also as a child he severely injured his arm when he put the arm through a door's glass pane.,NR,also as a child he severely injured his arm when he put the arm through a door's glass pane.,0
He was named a first team All-American in his junior and senior seasons.,NR,he was named a first team all-american in his junior and senior seasons.,0
"Governor Buddy MacKay (55% to 45%) to become governor, after courting moderate voters and Hispanics.",NR,"governor buddy mackay (55% to 45%) to become governor, after courting moderate voters and hispanics.",0
"By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.",NR,"by the 1964 election, reagan was an outspoken supporter of conservative republican barry goldwater.",0
"When she became pregnant, Barrymore proposed marriage.",NR,"when she became pregnant, barrymore proposed marriage.",0
While in the Senate he also served as chairman of the Republican National Committee from 1971 until 1973.,NR,while in the senate he also served as chairman of the republican national committee from 1971 until 1973.,0
"All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",NR,"all members of the bouvier family (except, of course, marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.",0
"His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.",NR,"his maternal great-grandfather, john wilson, immigrated to the united states from paisley, scotland in the early 1800s.",0
No Barrymore would allow such a conventional thing to happen to him.,NR,no barrymore would allow such a conventional thing to happen to him.,0
He was United States Secretary of Defense from 1987 until 1989.,NR,he was united states secretary of defense from 1987 until 1989.,0
"In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.",NR,"in the 1970s, arista also had an extensive jazz line, most notably its freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary savoy label.",0
"In 1891, Ford became an engineer with the Edison Illuminating Company, and after his promotion to Chief Engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",NR,"in 1891, ford became an engineer with the edison illuminating company, and after his promotion to chief engineer in 1893, he had enough time and money to devote attention to his personal experiments on internal combustion engines.",0
"He was inducted into the College Football Hall of Fame, the South Carolina Sports Hall of Fame, and the Clemson Ring of Honor.",NR,"he was inducted into the college football hall of fame, the south carolina sports hall of fame, and the clemson ring of honor.",0
"After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).",NR,"after world war ii, kennedy entered politics (partly to fill the void of his popular brother, joseph p. kennedy, jr., on whom his family had pinned many of their hopes but who was killed in the war).",0
"After he published his book, his colleages from the Reagan administration broke contact and refused to speak with him.",NR,"after he published his book, his colleages from the reagan administration broke contact and refused to speak with him.",0
The Perrys have four children.,NR,the perrys have four children.,0
"He passed away from liver disease in his home in Dix Hills, New York.",NR,"he passed away from liver disease in his home in dix hills, new york.",0
"In the spring of 1941, Kennedy volunteered for the U.S. Army, but was rejected, mainly because of his troublesome back.",NR,"in the spring of 1941, kennedy volunteered for the u.s. army, but was rejected, mainly because of his troublesome back.",0
"Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",NR,"grant drank distilled liquor and, during the american civil war, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.",0
"Their greed leads to distrust and dishonesty, and eventually the society crumbles.",NR,"their greed leads to distrust and dishonesty, and eventually the society crumbles.",0
He and his wife had seven children.,NR,he and his wife had seven children.,0
"In The Law of Civilisation and Decay (1895), Adams noted that as new population centers emerged in the west, centers of world trade shifted from Constantinople to Venice to Amsterdam to London.",NR,"in the law of civilisation and decay (1895), adams noted that as new population centers emerged in the west, centers of world trade shifted from constantinople to venice to amsterdam to london.",0
"Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.",NR,"hodgkin and huxley shared the prize that year with john carew eccles, who was cited for research on synapses.",0
"During his time, he also befriended another actor named Grant Heslov, a close friend and frequent collaborator with Clooney who co-wrote Good Night, and Good Luck., and is the president of Clooney and director Steven Soderbergh's production company Section 8 Entertainment.",NR,"during his time, he also befriended another actor named grant heslov, a close friend and frequent collaborator with clooney who co-wrote good night, and good luck., and is the president of clooney and director steven soderbergh's production company section 8 entertainment.",0
He was educated at Skipton primary school and Ballarat Grammar: he was the last Victorian Premier not to have a university education.,NR,he was educated at skipton primary school and ballarat grammar: he was the last victorian premier not to have a university education.,0
Manning's Passer Rating in the Colts' playoff games against the Broncos and Kansas City Chiefs was a perfect 158.3.,NR,manning's passer rating in the colts' playoff games against the broncos and kansas city chiefs was a perfect 158.3.,0
"Following the 1980 presidential election, Bush and his family moved to Miami-Dade County, Florida.",NR,"following the 1980 presidential election, bush and his family moved to miami-dade county, florida.",0
"The two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",NR,"the two were married in 1953, divorced in 1961, and remarried in 1964, only to be divorced again in 1967.",0
"During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.",NR,"during this period, he published profiles in courage, highlighting eight instances in which u.s. senators risked their careers by standing by their personal beliefs.",0
He also played for the New Haven Eagles and Bronx Tigers of the Canadian-American Hockey League.,NR,he also played for the new haven eagles and bronx tigers of the canadian-american hockey league.,0
"Following this he returned to Philadelphia in 1726 with the help of a merchant named Thomas Denham, who gave Franklin a position as clerk, shopkeeper and bookkeeper in Denham's merchant business.",NR,"following this he returned to philadelphia in 1726 with the help of a merchant named thomas denham, who gave franklin a position as clerk, shopkeeper and bookkeeper in denham's merchant business.",0
"In his college career, he threw only 33 interceptions in 1,381 attempts, an NCAA record for best all-time interception percentage.",NR,"in his college career, he threw only 33 interceptions in 1,381 attempts, an ncaa record for best all-time interception percentage.",0
"Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.",NR,"upon graduation, grant adopted the form of his new name with middle initial only, never acknowledging that the 's' stood for simpson.",0
"White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.",NR,"white was later murdered by nesbit's vengeful husband, pittsburgh millionaire harry k. thaw.",0
"She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.",NR,"she was not a particularly popular choice of queen, being a roman catholic, and her religion prevented her ever being crowned, since she could not take part in an anglican service.",0
"Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.",NR,"kennedy's other decorations of the second world war include the purple heart, asiatic-pacific campaign medal, and the world war ii victory medal.",0
"In 1814, he was commissioned a lieutenant of engineers in the United States Army.",NR,"in 1814, he was commissioned a lieutenant of engineers in the united states army.",0
"With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.",NR,"with a few exceptions, marge spends most of her time tending to housework, minding maggie, being supportive of lisa, and either disciplining bart or defending him from homer's rage.",0
"Like many other Quebecers of their generation, the Lévesques and Kerouacs were part of the Quebec emigration to New England to find employment.",NR,"like many other quebecers of their generation, the lévesques and kerouacs were part of the quebec emigration to new england to find employment.",0
The neglected and lonely Caroline Mathilde drifted into an affair with Struensee.,NR,the neglected and lonely caroline mathilde drifted into an affair with struensee.,0
Reagan smoothly improvised a fictional play-by-play (in which hitters on both teams fouled off pitches) until the wire was restored.,NR,reagan smoothly improvised a fictional play-by-play (in which hitters on both teams fouled off pitches) until the wire was restored.,0
"He also ran unsuccessfully for the Republican Presidential nomination in 1980 and made a more serious bid for the Republican presidential nomination in 1988, losing to then-Vice President George H.W. Bush.",NR,"he also ran unsuccessfully for the republican presidential nomination in 1980 and made a more serious bid for the republican presidential nomination in 1988, losing to then-vice president george h.w. bush.",0
"Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.",NR,"kennedy married his second wife jacqueline bouvier on september 12, 1953.",0
"Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",NR,"despite charles's reputation as a womaniser, catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.",0
He was reportedly less hard-line in policies toward the Soviet Union than Weinberger.,NR,he was reportedly less hard-line in policies toward the soviet union than weinberger.,0
"Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.",NR,"aged 86 at death, groucho was the longest-lived of all the marx brothers, though younger brother zeppo survived him by two years.",0
"Despite the poverty he grew up in, he managed to win a scholarship to the Laurinburg Institute in North Carolina.",TSR,"despite the poverty he grew up in, he managed to win a scholarship to the laurinburg institute in north carolina.",1
"They lost control of both houses of Congress for the first time in 40 years, in large part due to stalled legislation, including a failed attempt to create a comprehensive health care system under a plan developed by First Lady Hillary Rodham Clinton.",TSR,"they lost control of both houses of congress for the first time in 40 years, in large part due to stalled legislation, including a failed attempt to create a comprehensive health care system under a plan developed by first lady hillary rodham clinton.",1
"By most accounts, his early life was happy, and he lived as a part of the typical American family.",TSR,"by most accounts, his early life was happy, and he lived as a part of the typical american family.",1
"Stevo Crvenkovski (March 18, 1947 February 4, 2004) was a Macedonian diplomat.",TSR,"stevo crvenkovski (march 18, 1947 february 4, 2004) was a macedonian diplomat.",1
"In 1976, Hillary Rodham joined the venerable and influential Rose Law Firm, specializing in intellectual property cases while doing child advocacy cases pro bono.",TSR,"in 1976, hillary rodham joined the venerable and influential rose law firm, specializing in intellectual property cases while doing child advocacy cases pro bono.",1
"Thomas Jeffrey Hanks (born July 9, 1956) is an American actor famous for playing notable roles in many popular and critically acclaimed movies.",TSR,"thomas jeffrey hanks (born july 9, 1956) is an american actor famous for playing notable roles in many popular and critically acclaimed movies.",1
She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,TSR,she chaired the committee that drafted and approved the universal declaration of human rights.,1
"After a stint with investment banking firm A. G. Becker from 1960 to 1962, he was elected to the United States House of Representatives from Illinois in 1962, at the age of 30, and was re-elected in 1964, 1966, and 1968.",TSR,"after a stint with investment banking firm a. g. becker from 1960 to 1962, he was elected to the united states house of representatives from illinois in 1962, at the age of 30, and was re-elected in 1964, 1966, and 1968.",1
